"# CarMaker trajectory export, merged from Orientations_1.xls + Translations_2.xls"
"# Frame: ISO 8855 (X forward, Y left, Z up). Units: time=s, tx/ty/tz=m, pitch/roll/yaw=deg"
# Trailing repeated end-of-sim samples have been removed via dedup-by-time.
time_s,tx_m,ty_m,tz_m,pitch_deg,roll_deg,yaw_deg
0.730000,-21.507109,1.689468,0.000000,0.092186,0.293662,180.632131
0.740000,-21.753944,1.686842,0.000000,0.091005,0.296657,180.648523
0.750000,-22.000765,1.684154,0.000000,0.089859,0.299460,180.664888
0.760000,-22.247572,1.681404,0.000000,0.088746,0.302065,180.681199
0.770000,-22.494368,1.678593,0.000000,0.087663,0.304470,180.697441
0.780000,-22.741150,1.675720,0.000000,0.086608,0.306668,180.713601
0.790000,-22.987921,1.672786,0.000000,0.085579,0.308658,180.729680
0.800000,-23.234680,1.669790,0.000000,0.084575,0.310435,180.745662
0.810000,-23.481428,1.666734,0.000000,0.083594,0.311999,180.761522
0.820000,-23.728165,1.663617,0.000000,0.082634,0.313347,180.777272
0.830000,-23.974890,1.660439,0.000000,0.081695,0.314478,180.792900
0.840000,-24.221605,1.657200,0.000000,0.080772,0.315390,180.808391
0.850000,-24.468309,1.653901,0.000000,0.079866,0.316082,180.823745
0.860000,-24.715004,1.650543,0.000000,0.078972,0.316554,180.838949
0.870000,-24.961687,1.647124,0.000000,0.078089,0.316807,180.854003
0.880000,-25.208363,1.643647,0.000000,0.077215,0.316840,180.868892
0.890000,-25.455029,1.640111,0.000000,0.076347,0.316657,180.883605
0.900000,-25.701685,1.636516,0.000000,0.075484,0.316261,180.898167
0.910000,-25.948334,1.632863,0.000000,0.074625,0.315655,180.912537
0.920000,-26.194973,1.629152,0.000000,0.073768,0.314843,180.926730
0.930000,-26.441605,1.625383,0.000000,0.072913,0.313831,180.940746
0.940000,-26.688229,1.621558,0.000000,0.072057,0.312623,180.954570
0.950000,-26.934843,1.617677,0.000000,0.071201,0.311226,180.968203
0.960000,-27.181452,1.613739,0.000000,0.070345,0.309644,180.981645
0.970000,-27.428053,1.609746,0.000000,0.069486,0.307885,180.994896
0.980000,-27.674648,1.605698,0.000000,0.068624,0.305955,181.007941
0.990000,-27.921236,1.601595,0.000000,0.067759,0.303860,181.020796
1.000000,-28.167818,1.597439,0.000000,0.066890,0.301609,181.033445
1.010000,-28.414392,1.593229,0.000000,0.066015,0.299209,181.045904
1.020000,-28.660963,1.588967,0.000000,0.065135,0.296665,181.058143
1.030000,-28.907528,1.584652,0.000000,0.064250,0.293987,181.070178
1.040000,-29.154085,1.580287,0.000000,0.063358,0.291180,181.082022
1.050000,-29.400639,1.575870,0.000000,0.062462,0.288250,181.093647
1.060000,-29.647188,1.571403,0.000000,0.061560,0.285205,181.105067
1.070000,-29.893732,1.566887,0.000000,0.060654,0.282051,181.116282
1.080000,-30.140270,1.562322,0.000000,0.059743,0.278794,181.127278
1.090000,-30.386806,1.557709,0.000000,0.058830,0.275440,181.138084
1.100000,-30.633337,1.553048,0.000000,0.057913,0.271995,181.148657
1.110000,-30.879864,1.548341,0.000000,0.056995,0.268465,181.159039
1.120000,-31.126389,1.543588,0.000000,0.056075,0.264856,181.169202
1.130000,-31.372908,1.538790,0.000000,0.055154,0.261174,181.179174
1.140000,-31.619425,1.533948,0.000000,0.054233,0.257424,181.188914
1.150000,-31.865940,1.529062,0.000000,0.053313,0.253611,181.198463
1.160000,-32.112450,1.524134,0.000000,0.052395,0.249740,181.207793
1.170000,-32.358959,1.519163,0.000000,0.051479,0.245814,181.216932
1.180000,-32.605465,1.514152,0.000000,0.050565,0.241839,181.225852
1.190000,-32.851971,1.509100,0.000000,0.049655,0.237818,181.234553
1.200000,-33.098473,1.504008,0.000000,0.048749,0.233757,181.243064
1.210000,-33.344975,1.498878,0.000000,0.047848,0.229658,181.251369
1.220000,-33.591473,1.493709,0.000000,0.046951,0.225527,181.259470
1.230000,-33.837971,1.488504,0.000000,0.046060,0.221367,181.267352
1.240000,-34.084469,1.483263,0.000000,0.045174,0.217182,181.275043
1.250000,-34.330963,1.477986,0.000000,0.044295,0.212977,181.282529
1.260000,-34.577457,1.472674,0.000000,0.043422,0.208754,181.289810
1.270000,-34.823952,1.467328,0.000000,0.042556,0.204518,181.296886
1.280000,-35.070450,1.461950,0.000000,0.041698,0.200272,181.303771
1.290000,-35.316944,1.456539,0.000000,0.040847,0.196020,181.310451
1.300000,-35.563438,1.451097,0.000000,0.040005,0.191763,181.316926
1.310000,-35.809933,1.445624,0.000000,0.039171,0.187507,181.323209
1.320000,-36.056427,1.440122,0.000000,0.038347,0.183253,181.329288
1.330000,-36.302921,1.434591,0.000000,0.037531,0.179007,181.335176
1.340000,-36.549419,1.429032,0.000000,0.036724,0.174767,181.340859
1.350000,-36.795918,1.423445,0.000000,0.035927,0.170535,181.346364
1.360000,-37.042416,1.417832,0.000000,0.035139,0.166309,181.351664
1.370000,-37.288918,1.412194,0.000000,0.034360,0.162088,181.356773
1.380000,-37.535419,1.406531,0.000000,0.033591,0.157874,181.361704
1.390000,-37.781921,1.400844,0.000000,0.032831,0.153666,181.366444
1.400000,-38.028427,1.395134,0.000000,0.032081,0.149468,181.370993
1.410000,-38.274937,1.389402,0.000000,0.031340,0.145280,181.375351
1.420000,-38.521446,1.383648,0.000000,0.030608,0.141105,181.379531
1.430000,-38.767956,1.377874,0.000000,0.029885,0.136945,181.383534
1.440000,-39.014473,1.372080,0.000000,0.029172,0.132803,181.387345
1.450000,-39.260990,1.366266,0.000000,0.028467,0.128681,181.390992
1.460000,-39.507511,1.360435,0.000000,0.027772,0.124580,181.394448
1.470000,-39.754036,1.354586,0.000000,0.027085,0.120502,181.397727
1.480000,-40.000565,1.348720,0.000000,0.026407,0.116448,181.400828
1.490000,-40.247093,1.342838,0.000000,0.025738,0.112420,181.403765
1.500000,-40.493629,1.336940,0.000000,0.025077,0.108420,181.406524
1.510000,-40.740166,1.331028,0.000000,0.024425,0.104447,181.409106
1.520000,-40.986710,1.325103,0.000000,0.023781,0.100503,181.411524
1.530000,-41.233257,1.319164,0.000000,0.023145,0.096588,181.413778
1.540000,-41.479805,1.313213,0.000000,0.022518,0.092704,181.415854
1.550000,-41.726360,1.307250,0.000000,0.021899,0.088850,181.417766
1.560000,-41.972923,1.301277,0.000000,0.021288,0.085027,181.419515
1.570000,-42.219486,1.295293,0.000000,0.020684,0.081236,181.421100
1.580000,-42.466057,1.289300,0.000000,0.020089,0.077476,181.422520
1.590000,-42.712631,1.283299,0.000000,0.019501,0.073748,181.423791
1.600000,-42.959213,1.277289,0.000000,0.018921,0.070053,181.424897
1.610000,-43.205795,1.271272,0.000000,0.018349,0.066389,181.425840
1.620000,-43.452389,1.265248,0.000000,0.017785,0.062758,181.426632
1.630000,-43.698986,1.259219,0.000000,0.017228,0.059159,181.427274
1.640000,-43.945587,1.253184,0.000000,0.016679,0.055593,181.427752
1.650000,-44.192196,1.247145,0.000000,0.016137,0.052059,181.428080
1.660000,-44.438808,1.241101,0.000000,0.015603,0.048557,181.428271
1.670000,-44.685429,1.235055,0.000000,0.015076,0.045088,181.428299
1.680000,-44.932056,1.229006,0.000000,0.014556,0.041651,181.428189
1.690000,-45.178692,1.222954,0.000000,0.014044,0.038246,181.427930
1.700000,-45.425331,1.216902,0.000000,0.013539,0.034873,181.427534
1.710000,-45.671978,1.210849,0.000000,0.013040,0.031530,181.426987
1.720000,-45.918633,1.204796,0.000000,0.012548,0.028218,181.426304
1.730000,-46.165291,1.198743,0.000000,0.012064,0.024936,181.425471
1.740000,-46.411961,1.192692,0.000000,0.011585,0.021683,181.424515
1.750000,-46.658634,1.186642,0.000000,0.011113,0.018461,181.423422
1.760000,-46.905319,1.180595,0.000000,0.010648,0.015268,181.422192
1.770000,-47.152008,1.174551,0.000000,0.010188,0.012105,181.420826
1.780000,-47.398705,1.168510,0.000000,0.009735,0.008973,181.419337
1.790000,-47.645412,1.162474,0.000000,0.009288,0.005871,181.417712
1.800000,-47.892124,1.156442,0.000000,0.008847,0.002800,181.415963
1.810000,-48.138847,1.150416,0.000000,0.008412,-0.000240,181.414078
1.820000,-48.385574,1.144395,0.000000,0.007982,-0.003249,181.412084
1.830000,-48.632313,1.138381,0.000000,0.007558,-0.006225,181.409953
1.840000,-48.879059,1.132374,0.000000,0.007140,-0.009170,181.407712
1.850000,-49.125813,1.126374,0.000000,0.006727,-0.012083,181.405349
1.860000,-49.372574,1.120382,0.000000,0.006320,-0.014963,181.402863
1.870000,-49.619347,1.114399,0.000000,0.005918,-0.017811,181.400267
1.880000,-49.866127,1.108425,0.000000,0.005522,-0.020626,181.397549
1.890000,-50.112915,1.102461,0.000000,0.005131,-0.023408,181.394721
1.900000,-50.359715,1.096506,0.000000,0.004745,-0.026157,181.391771
1.910000,-50.606522,1.090562,0.000000,0.004364,-0.028873,181.388724
1.920000,-50.853336,1.084629,0.000000,0.003989,-0.031556,181.385569
1.930000,-51.100163,1.078708,0.000000,0.003618,-0.034206,181.382290
1.940000,-51.346996,1.072798,0.000000,0.003253,-0.036822,181.378916
1.950000,-51.593842,1.066902,0.000000,0.002893,-0.039404,181.375447
1.960000,-51.840694,1.061018,0.000000,0.002538,-0.041952,181.371868
1.970000,-52.087559,1.055147,0.000000,0.002187,-0.044465,181.368179
1.980000,-52.334431,1.049290,0.000000,0.001842,-0.046944,181.364395
1.990000,-52.581314,1.043448,0.000000,0.001501,-0.049387,181.360516
2.000000,-52.828209,1.037620,0.000000,0.001165,-0.051796,181.356541
2.010000,-53.075111,1.031807,0.000000,0.000834,-0.054169,181.352456
2.020000,-53.322021,1.026010,0.000000,0.000508,-0.056508,181.348290
2.030000,-53.568947,1.020229,0.000000,0.000186,-0.058813,181.344041
2.040000,-53.815880,1.014464,0.000000,-0.000131,-0.061084,181.339684
2.050000,-54.062824,1.008716,0.000000,-0.000443,-0.063320,181.335244
2.060000,-54.309776,1.002986,0.000000,-0.000751,-0.065524,181.330723
2.070000,-54.556740,0.997272,0.000000,-0.001054,-0.067694,181.326105
2.080000,-54.803715,0.991577,0.000000,-0.001353,-0.069832,181.321406
2.090000,-55.050701,0.985900,0.000000,-0.001647,-0.071938,181.316625
2.100000,-55.297695,0.980242,0.000000,-0.001937,-0.074011,181.311748
2.110000,-55.544704,0.974603,0.000000,-0.002222,-0.076052,181.306817
2.120000,-55.791721,0.968983,0.000000,-0.002503,-0.078062,181.301790
2.130000,-56.038750,0.963383,0.000000,-0.002780,-0.080041,181.296681
2.140000,-56.285789,0.957803,0.000000,-0.003052,-0.081989,181.291504
2.150000,-56.532841,0.952244,0.000000,-0.003319,-0.083906,181.286258
2.160000,-56.779903,0.946706,0.000000,-0.003582,-0.085793,181.280930
2.170000,-57.026974,0.941188,0.000000,-0.003841,-0.087649,181.275535
2.180000,-57.274059,0.935692,0.000000,-0.004096,-0.089475,181.270070
2.190000,-57.521156,0.930218,0.000000,-0.004346,-0.091270,181.264538
2.200000,-57.768261,0.924766,0.000000,-0.004592,-0.093037,181.258937
2.210000,-58.015381,0.919337,0.000000,-0.004834,-0.094773,181.253268
2.220000,-58.262508,0.913930,0.000000,-0.005071,-0.096480,181.247531
2.230000,-58.509651,0.908546,0.000000,-0.005305,-0.098157,181.241739
2.240000,-58.756802,0.903185,0.000000,-0.005534,-0.099805,181.235892
2.250000,-59.003967,0.897848,0.000000,-0.005760,-0.101423,181.229964
2.260000,-59.251144,0.892535,0.000000,-0.005981,-0.103013,181.223994
2.270000,-59.498333,0.887246,0.000000,-0.006198,-0.104573,181.217970
2.280000,-59.745529,0.881981,0.000000,-0.006412,-0.106105,181.211877
2.290000,-59.992741,0.876741,0.000000,-0.006621,-0.107608,181.205730
2.300000,-60.239967,0.871526,0.000000,-0.006827,-0.109081,181.199542
2.310000,-60.487202,0.866336,0.000000,-0.007029,-0.110526,181.193299
2.320000,-60.734447,0.861171,0.000000,-0.007227,-0.111943,181.187002
2.330000,-60.981709,0.856031,0.000000,-0.007421,-0.113330,181.180650
2.340000,-61.228977,0.850918,0.000000,-0.007611,-0.114689,181.174257
2.350000,-61.476261,0.845831,0.000000,-0.007798,-0.116020,181.167822
2.360000,-61.723557,0.840769,0.000000,-0.007981,-0.117322,181.161334
2.370000,-61.970863,0.835735,0.000000,-0.008160,-0.118596,181.154804
2.380000,-62.218185,0.830727,0.000000,-0.008335,-0.119842,181.148234
2.390000,-62.465519,0.825745,0.000000,-0.008507,-0.121060,181.141622
2.400000,-62.712860,0.820791,0.000000,-0.008675,-0.122250,181.134983
2.410000,-62.960220,0.815865,0.000000,-0.008839,-0.123412,181.128289
2.420000,-63.207588,0.810965,0.000000,-0.009000,-0.124547,181.121568
2.430000,-63.454971,0.806093,0.000000,-0.009158,-0.125654,181.114807
2.440000,-63.702362,0.801249,0.000000,-0.009311,-0.126733,181.108004
2.450000,-63.949772,0.796433,0.000000,-0.009462,-0.127786,181.101174
2.460000,-64.197189,0.791645,0.000000,-0.009608,-0.128811,181.094316
2.470000,-64.444618,0.786885,0.000000,-0.009752,-0.129809,181.087418
2.480000,-64.692062,0.782154,0.000000,-0.009892,-0.130779,181.080505
2.490000,-64.939522,0.777451,0.000000,-0.010028,-0.131724,181.073552
2.500000,-65.186989,0.772777,0.000000,-0.010161,-0.132641,181.066572
2.510000,-65.434471,0.768132,0.000000,-0.010291,-0.133532,181.059564
2.520000,-65.681969,0.763516,0.000000,-0.010417,-0.134397,181.052543
2.530000,-65.929474,0.758929,0.000000,-0.010541,-0.135235,181.045480
2.540000,-66.176994,0.754371,0.000000,-0.010661,-0.136048,181.038418
2.550000,-66.424530,0.749842,0.000000,-0.010777,-0.136834,181.031314
2.560000,-66.672073,0.745343,0.000000,-0.010891,-0.137595,181.024197
2.570000,-66.919632,0.740874,0.000000,-0.011001,-0.138331,181.017067
2.580000,-67.167206,0.736434,0.000000,-0.011109,-0.139040,181.009909
2.590000,-67.414787,0.732024,0.000000,-0.011213,-0.139725,181.002737
2.600000,-67.662384,0.727644,0.000000,-0.011314,-0.140385,180.995551
2.610000,-67.909996,0.723293,0.000000,-0.011412,-0.141020,180.988339
2.620000,-68.157616,0.718973,0.000000,-0.011507,-0.141630,180.981126
2.630000,-68.405258,0.714683,0.000000,-0.011599,-0.142215,180.973900
2.640000,-68.652901,0.710423,0.000000,-0.011688,-0.142777,180.966660
2.650000,-68.900566,0.706193,0.000000,-0.011775,-0.143314,180.959406
2.660000,-69.148239,0.701994,0.000000,-0.011858,-0.143827,180.952152
2.670000,-69.395927,0.697825,0.000000,-0.011938,-0.144316,180.944871
2.680000,-69.643631,0.693686,0.000000,-0.012016,-0.144782,180.937604
2.690000,-69.891342,0.689578,0.000000,-0.012091,-0.145225,180.930323
2.700000,-70.139069,0.685500,0.000000,-0.012163,-0.145644,180.923029
2.710000,-70.386803,0.681453,0.000000,-0.012232,-0.146041,180.915734
2.720000,-70.634560,0.677437,0.000000,-0.012299,-0.146414,180.908439
2.730000,-70.882324,0.673451,0.000000,-0.012362,-0.146765,180.901131
2.740000,-71.130104,0.669496,0.000000,-0.012423,-0.147094,180.893836
2.750000,-71.377892,0.665571,0.000000,-0.012482,-0.147400,180.886528
2.760000,-71.625702,0.661678,0.000000,-0.012538,-0.147684,180.879233
2.770000,-71.873520,0.657815,0.000000,-0.012591,-0.147947,180.871925
2.780000,-72.121346,0.653982,0.000000,-0.012641,-0.148188,180.864630
